CarID,Make,Model,Year,Price,DealerID
35,Mercedes-Benz,GLE 350 4MATIC,2023,32743126.071314227,10
36,Mercedes-Benz,GLE 350 4MATIC,2023,15117746.146320457,3
37,Ford,Fiesta,2019,56111675.378504746,16
38,Mercedes-Benz,GLE 350 4MATIC,2021,9861448.440082133,9
39,Ford,Fiesta,2019,77426663.91647509,12
40,Toyota,Corolla,2021,45731503.44161366,5
41,Honda,Civic,2022,6664512.2549919,20
42,Mercedes Benz,ML350,2023,74162466.99970022,14
43,Toyota,Corolla,2016,13808511.15583645,7
44,Mercedes Benz,GLK450,2022,48593503.69258572,1
45,Mercedes Benz,GLK450,2017,74839458.47402781,23
46,Lexus,Altima,2015,16401741.379092423,26
47,Ford,Fiesta,2021,10160103.748360729,21
48,Honda,Civic,2018,24475376.272233095,6
49,Ford,Fiesta,2023,29817927.68451944,17
50,Mercedes Benz,ML350,2016,90161850.69048373,8
51,Mercedes-Benz,GLE 350 4MATIC,2015,98040004.48159692,10
52,Mercedes-Benz,GLE 350 4MATIC,2021,45412149.007472016,18
53,Mercedes Benz,ML350,2021,42056192.535795875,30
54,Lexus,Altima,2018,79799232.45568489,17
55,Mercedes-Benz,GLE 450 AMG,2022,34274523.55374784,21
56,Mercedes-Benz,GLE 350 4MATIC,2021,17807062.265929084,12
57,Honda,Civic,2015,63506031.404647276,1
58,Mercedes-Benz,GLE 450 AMG,2018,65670155.244744755,10
59,Honda,Civic,2020,53760652.17017374,9
60,Toyota,Corolla,2022,55810977.64159611,29
61,Lexus,Altima,2022,16188218.183623945,9
62,Mercedes-Benz,GLE 350 4MATIC,2017,110112924.65350923,12
63,Honda,Civic,2020,51669974.535192184,20
64,Lexus,GX 460,2015,48130228.166985966,8
65,Mercedes-Benz,GLE 450 AMG,2019,92254260.31228662,21
66,Toyota,Corolla,2015,101720250.35194515,22
67,Lexus,GX 460,2021,31260647.663586725,5
68,Lexus,Altima,2018,35114368.69849863,5
69,Mercedes-Benz,GLE 450 AMG,2023,88975287.83083132,2
70,Mercedes Benz,GLK450,2019,50020459.839314386,27
71,Mercedes Benz,GLK450,2019,45901973.131278366,14
72,Lexus,Altima,2021,51442134.34878756,27
73,Mercedes Benz,GLK450,2020,34645141.456791386,10
74,Lexus,Altima,2022,86492330.34394917,7
75,Mercedes-Benz,GLE 350 4MATIC,2021,10745339.408213167,20
76,Lexus,GX 460,2019,59159762.94197727,20
77,Lexus,Altima,2019,85003604.84584424,13
78,Mercedes-Benz,GLE 450 AMG,2016,25351628.25447289,14
79,Lexus,Altima,2016,12171140.337877488,18
80,Mercedes Benz,GLK450,2015,108207631.18304196,5
81,Honda,Civic,2017,68860798.28161786,10
82,Mercedes Benz,GLK450,2018,60831718.50328483,4
83,Mercedes-Benz,GLE 350 4MATIC,2018,43922014.36412735,4
84,Mercedes-Benz,GLE 350 4MATIC,2019,73373625.73407662,5
85,Toyota,Corolla,2020,37562771.02937716,16
86,Lexus,GX 460,2022,30412951.02762968,4
87,Ford,Fiesta,2019,73120013.6613631,17
88,Ford,Fiesta,2019,28157274.284000743,8
89,Lexus,rx350,2022,80045242.73873226,20
90,Ford,Fiesta,2015,71803118.06493586,4
91,Mercedes-Benz,GLE 350 4MATIC,2019,61959433.88277633,13
92,Mercedes-Benz,GLE 350 4MATIC,2017,41838260.60794823,28
93,Ford,Fiesta,2018,10451381.125060301,4
94,Lexus,Altima,2015,32060101.20864996,29
95,Honda,Civic,2019,58906118.698133536,24
96,Honda,Civic,2018,71460883.44839154,15
97,Lexus,rx350,2017,18704624.33015097,4
98,Honda,Civic,2015,52128265.21983717,14
99,Mercedes-Benz,GLE 450 AMG,2019,66100831.412830636,28
100,Honda,Civic,2019,37779258.08371326,9
101,Mercedes Benz,ML350,2018,24930829.882754814,12
102,Mercedes-Benz,GLE 350 4MATIC,2016,55664032.527201526,17
103,Toyota,Corolla,2022,18494447.02086319,20
104,Mercedes Benz,ML350,2020,60796136.5096931,11
105,Lexus,rx350,2021,107070391.78798105,11
106,Mercedes-Benz,GLE 450 AMG,2017,38103986.30962684,3
107,Lexus,rx350,2019,80391647.5761441,17
108,Lexus,GX 460,2015,9016199.944376864,15
109,Mercedes Benz,ML350,2019,89953116.88339,7
110,Mercedes-Benz,GLE 350 4MATIC,2020,9335159.808131592,19
111,Lexus,GX 460,2017,30899292.947232716,5
112,Honda,Civic,2015,17976902.13111812,13
113,Lexus,GX 460,2018,98062174.00052164,23
114,Mercedes-Benz,GLE 450 AMG,2015,21677180.753178734,14
115,Honda,Civic,2018,30691770.186539855,17
116,Lexus,Altima,2020,42379740.29636929,28
117,Lexus,GX 460,2016,79636453.1380217,29
118,Ford,Fiesta,2018,48812582.534841895,27
119,Lexus,GX 460,2020,9975278.681965208,5
120,Mercedes Benz,ML350,2021,63904402.302391194,28
121,Lexus,rx350,2016,10586020.541109202,2
122,Lexus,rx350,2017,77371611.0093638,4
123,Lexus,Altima,2020,48886173.84211528,23
124,Mercedes-Benz,GLE 350 4MATIC,2015,106121693.37545742,2
125,Lexus,Altima,2019,9448755.548455196,21
126,Mercedes Benz,GLK450,2016,55058681.14005062,6
127,Lexus,Altima,2017,66047371.970298484,11
128,Mercedes Benz,GLK450,2019,40106521.13025392,6
129,Lexus,Altima,2020,110923085.95170432,12
130,Mercedes Benz,ML350,2015,25069985.717218105,12
131,Lexus,GX 460,2015,77940070.71205617,7
132,Mercedes-Benz,GLE 450 AMG,2020,15438992.956971563,16
133,Mercedes Benz,GLK450,2018,104859155.14360742,8
134,Lexus,GX 460,2020,12173524.696845727,27
135,Honda,Civic,2015,45469314.8977683,23
136,Mercedes Benz,ML350,2023,118761750.08891048,20
137,Lexus,GX 460,2023,8238340.78633785,29
138,Mercedes-Benz,GLE 450 AMG,2020,94107083.43866254,25
139,Mercedes Benz,GLK450,2018,63369066.8550995,6
140,Toyota,Corolla,2018,11092222.487279767,4
141,Mercedes Benz,ML350,2023,95559830.9086616,25
142,Honda,Civic,2021,85142964.5879909,23
143,Lexus,Altima,2020,86357110.92075959,2
144,Lexus,rx350,2016,22320567.338471133,14
145,Lexus,rx350,2018,25387250.99636554,1
146,Lexus,GX 460,2019,30991522.403070103,27
147,Mercedes-Benz,GLE 450 AMG,2022,10531446.105983874,30
148,Mercedes-Benz,GLE 350 4MATIC,2021,28130655.83096894,7
149,Honda,Civic,2016,5593869.80510957,21
150,Mercedes-Benz,GLE 450 AMG,2019,61797512.714184836,15
151,Lexus,GX 460,2017,41314768.632572845,25
152,Toyota,Corolla,2015,49667857.062870696,15
153,Honda,Civic,2016,35012720.780805275,27
154,Honda,Civic,2021,82514018.1405115,28
155,Mercedes Benz,ML350,2022,9072824.042824535,26
156,Mercedes Benz,GLK450,2015,13668711.718295455,28
157,Honda,Civic,2019,73760810.70296758,17
158,Mercedes-Benz,GLE 450 AMG,2021,6265890.272572762,6
159,Lexus,rx350,2016,50716544.68158057,6
160,Toyota,Corolla,2021,76738853.11221732,7
161,Mercedes-Benz,GLE 450 AMG,2017,36338874.26117185,1
162,Lexus,Altima,2017,20181982.293347508,14
163,Honda,Civic,2018,67541040.08389096,4
164,Mercedes Benz,ML350,2018,33904413.27800917,30
165,Lexus,GX 460,2021,15772831.370821228,11
166,Lexus,rx350,2018,39985756.7236992,26
167,Mercedes-Benz,GLE 450 AMG,2021,49661763.161331765,17
168,Mercedes Benz,GLK450,2023,25310607.320739947,13
169,Toyota,Corolla,2016,89318390.4948825,9
170,Mercedes Benz,ML350,2016,37676789.708036035,17
171,Honda,Civic,2020,52926616.45232154,5
172,Mercedes Benz,GLK450,2020,92034811.62365386,1
173,Lexus,Altima,2020,9788732.257929767,16
174,Mercedes Benz,GLK450,2016,79361129.18717615,18
175,Mercedes-Benz,GLE 450 AMG,2019,98427487.472794,16
176,Lexus,GX 460,2019,43901735.405390665,6
177,Mercedes Benz,GLK450,2015,52616979.358792,13
178,Lexus,GX 460,2020,79171347.7291914,11
179,Lexus,Altima,2020,52830494.21897625,5
180,Ford,Fiesta,2020,13525591.132906843,3
181,Toyota,Corolla,2015,79932034.56524172,7
182,Honda,Civic,2015,10827717.08392115,21
183,Mercedes Benz,GLK450,2019,25500335.389667515,18
184,Mercedes Benz,ML350,2022,36726340.22153526,23
185,Mercedes Benz,ML350,2018,74922137.60688291,17
186,Ford,Fiesta,2018,29988704.918094642,24
187,Mercedes Benz,GLK450,2023,54702857.34369664,23
188,Honda,Civic,2019,43466439.980297476,6
189,Mercedes Benz,ML350,2016,59830851.51856575,9
190,Honda,Civic,2015,23181660.723603927,16
191,Lexus,Altima,2023,75123334.45725046,15
192,Ford,Fiesta,2020,42298358.19234202,25
193,Ford,Fiesta,2021,82958475.95762171,26
194,Ford,Fiesta,2019,69814124.31955384,2
195,Mercedes-Benz,GLE 450 AMG,2022,53725835.91427273,23
196,Mercedes-Benz,GLE 450 AMG,2017,33623248.90251289,20
197,Lexus,rx350,2016,33678940.711346366,8
198,Honda,Civic,2020,84762741.32788232,4
199,Honda,Civic,2015,23891796.26254683,1
200,Honda,Civic,2015,87571261.73710307,23
201,Lexus,Altima,2016,76315996.76924801,20
202,Mercedes Benz,ML350,2019,10683303.766197296,26
203,Toyota,Corolla,2022,71554333.1062562,24
204,Lexus,GX 460,2022,75837613.49207334,26
205,Lexus,Altima,2017,71007590.7658604,29
206,Lexus,GX 460,2022,90283420.03735013,21
207,Honda,Civic,2023,66984685.6825503,2
208,Lexus,GX 460,2023,81779729.19957153,10
209,Mercedes-Benz,GLE 350 4MATIC,2016,16496872.370074999,25
210,Mercedes-Benz,GLE 350 4MATIC,2017,81235923.42674185,13
211,Lexus,GX 460,2018,82487878.80276923,7
212,Mercedes Benz,GLK450,2023,4166786.287948612,9
213,Mercedes-Benz,GLE 350 4MATIC,2021,41718761.758251585,4
214,Toyota,Corolla,2017,96823772.64735264,2
215,Lexus,Altima,2015,61249113.71292967,29
216,Lexus,GX 460,2019,37912406.41198339,10
217,Honda,Civic,2018,27047867.149117436,27
218,Mercedes Benz,ML350,2020,108561575.66415922,6
219,Mercedes-Benz,GLE 450 AMG,2020,52698866.09318552,24
220,Lexus,rx350,2023,80328931.00102597,6
221,Lexus,Altima,2017,61571563.10506658,18
222,Lexus,Altima,2016,20038582.576999456,9
223,Mercedes-Benz,GLE 450 AMG,2021,14379968.102363218,9
224,Lexus,Altima,2015,16643456.923352052,25
225,Mercedes-Benz,GLE 350 4MATIC,2015,22874030.71116547,4
226,Lexus,Altima,2019,11262075.642535722,7
227,Toyota,Corolla,2022,22900540.103198607,13
228,Toyota,Corolla,2022,8323201.4842699515,23
229,Mercedes-Benz,GLE 450 AMG,2017,8460321.176245071,29
230,Mercedes-Benz,GLE 450 AMG,2015,38847954.19998156,9
231,Lexus,GX 460,2023,76300131.42729688,22
232,Mercedes-Benz,GLE 450 AMG,2015,64079415.25963343,19
233,Mercedes-Benz,GLE 450 AMG,2015,44051112.44717328,7
234,Toyota,Corolla,2020,54616161.08824596,1
235,Mercedes Benz,GLK450,2022,19227151.876990575,18
236,Toyota,Corolla,2022,67058114.74990386,29
237,Toyota,Corolla,2017,37150574.488281436,13
238,Lexus,GX 460,2017,11570580.757132165,9
239,Toyota,Corolla,2023,46330162.23567242,10
240,Lexus,GX 460,2022,79665181.29446726,9
241,Mercedes-Benz,GLE 450 AMG,2019,81539191.94398697,14
242,Mercedes-Benz,GLE 450 AMG,2016,33778253.46442251,17
243,Ford,Fiesta,2019,35887602.53016683,21
244,Honda,Civic,2015,74496292.30797054,29
245,Lexus,rx350,2017,64723517.828644976,6
246,Lexus,rx350,2019,19943683.027521744,23
247,Lexus,GX 460,2023,65507426.96443612,10
248,Mercedes-Benz,GLE 350 4MATIC,2016,68585510.28100279,5
249,Mercedes Benz,ML350,2017,81556917.05189322,7
250,Ford,Fiesta,2016,63073066.66012246,10
251,Lexus,rx350,2018,43306597.752407275,20
252,Toyota,Corolla,2016,91125031.65008867,5
253,Toyota,Corolla,2023,11950767.695820378,13
254,Lexus,GX 460,2017,81935301.37349422,23
255,Lexus,GX 460,2016,43496798.7233128,7
256,Mercedes-Benz,GLE 350 4MATIC,2020,5619586.870745894,25
257,Lexus,rx350,2017,37224234.25628485,18
258,Mercedes Benz,ML350,2017,12205140.79964899,9
259,Lexus,Altima,2022,50780193.83008952,12
260,Mercedes-Benz,GLE 450 AMG,2022,6680945.16243363,19
261,Lexus,rx350,2020,73497428.41507863,10
262,Lexus,Altima,2021,40101416.851848036,16
263,Lexus,rx350,2023,64394123.54118626,23
264,Lexus,GX 460,2016,22729271.192815557,20
265,Lexus,Altima,2015,47697152.11659169,11
266,Lexus,rx350,2017,28860632.154319678,7
267,Ford,Fiesta,2021,59047196.1336303,7
268,Honda,Civic,2022,24952173.76912891,12
269,Mercedes Benz,ML350,2019,36242648.971133396,1
270,Mercedes Benz,GLK450,2021,95239163.99482566,9
271,Lexus,GX 460,2021,54594461.43320574,21
272,Toyota,Corolla,2018,87971484.77439226,19
273,Mercedes-Benz,GLE 450 AMG,2018,26648151.75181261,11
274,Lexus,GX 460,2015,40896636.06358991,29
275,Lexus,rx350,2019,70277264.52267626,1
276,Lexus,rx350,2018,32524693.49392052,28
277,Mercedes Benz,GLK450,2022,67217500.03513959,24
278,Lexus,GX 460,2021,92463071.67827608,2
279,Toyota,Corolla,2019,17244881.546770487,17
280,Mercedes Benz,GLK450,2018,7997957.859268885,20
281,Mercedes Benz,ML350,2018,87260473.72656018,15
282,Lexus,Altima,2019,95173195.94263276,27
283,Mercedes-Benz,GLE 350 4MATIC,2021,33217219.784259874,4
284,Honda,Civic,2022,62205729.82670873,18
285,Toyota,Corolla,2023,114410484.78448164,12
286,Honda,Civic,2022,82034470.23136231,23
287,Mercedes Benz,GLK450,2019,92450785.58881797,5
288,Lexus,Altima,2016,91221209.92739224,20
289,Lexus,rx350,2019,72355532.18097734,21
290,Lexus,rx350,2018,87656758.9327582,20
291,Toyota,Corolla,2019,65081595.66673094,4
292,Toyota,Corolla,2023,78448314.68146712,24
293,Mercedes Benz,ML350,2022,20514387.69670957,29
294,Ford,Fiesta,2021,79329083.30124798,25
295,Ford,Fiesta,2017,46764513.953725286,20
296,Lexus,rx350,2017,6254604.626533255,13
297,Honda,Civic,2018,102668686.42844327,5
298,Honda,Civic,2021,50504783.78783575,2
299,Ford,Fiesta,2021,73464835.50958583,24
300,Lexus,rx350,2021,24055211.324225638,26
